frame.number,ip.src,udp.srcport,ip.dst,udp.dstport,someip.serviceid,someip.methodid,someip.clientid,someip.sessionid,someip.messagetype,someip.returncode,someip.payload
42,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005014,0x00000080,0x00000000,0000000701000100010001
43,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005015,0x00000000,0x00000000,
44,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005015,0x00000080,0x00000000,0000000701000100010001
45,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000a,0x00001343,0x00005016,0x00000000,0x00000000,0000000701000100010001
46,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000a,0x00001343,0x00005016,0x00000080,0x00000000,0000000701000100010001
47,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005017,0x00000000,0x00000000,
48,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005017,0x00000080,0x00000000,0000000701000100010001
49,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005018,0x00000000,0x00000000,
50,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005018,0x00000080,0x00000000,0000000701000100010001
51,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000a,0x00001343,0x00005019,0x00000000,0x00000000,0000000701000100010001
52,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000a,0x00001343,0x00005019,0x00000080,0x00000000,0000000701000100010001
53,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x0000501a,0x00000000,0x00000000,
54,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x0000501a,0x00000080,0x00000000,0000000701000100010001
55,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x0000501b,0x00000000,0x00000000,
56,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x0000501b,0x00000080,0x00000000,0000000701000100010001
57,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000a,0x00001343,0x0000501c,0x00000000,0x00000000,0000000701000100010001
58,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000a,0x00001343,0x0000501c,0x00000080,0x00000000,0000000701000100010001
59,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x0000501d,0x00000000,0x00000000,
60,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x0000501d,0x00000080,0x00000000,0000000701000100010001
61,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x0000501e,0x00000000,0x00000000,
62,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x0000501e,0x00000080,0x00000000,00000000
63,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000c,0x00001343,0x0000501f,0x00000000,0x00000000,0000000701020300010203
64,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000c,0x00001343,0x0000501f,0x00000080,0x00000000,0000000701020300010203
65,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005020,0x00000000,0x00000000,
66,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005020,0x00000080,0x00000000,0000000701020300010203
67,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005021,0x00000000,0x00000000,
68,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005021,0x00000080,0x00000000,0000000701020300010203
69,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000c,0x00001343,0x00005022,0x00000000,0x00000000,0000000701020300010203
70,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000c,0x00001343,0x00005022,0x00000080,0x00000000,0000000701020300010203
71,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005023,0x00000000,0x00000000,
72,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005023,0x00000080,0x00000000,0000000701020300010203
73,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005024,0x00000000,0x00000000,
74,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005024,0x00000080,0x00000000,0000000701020300010203
75,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000c,0x00001343,0x00005025,0x00000000,0x00000000,0000000701020300010203
76,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000c,0x00001343,0x00005025,0x00000080,0x00000000,0000000701020300010203
77,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005026,0x00000000,0x00000000,
78,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005026,0x00000080,0x00000000,0000000701020300010203
79,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005027,0x00000000,0x00000000,
80,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005027,0x00000080,0x00000000,0000000701020300010203
81,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000c,0x00001343,0x00005028,0x00000000,0x00000000,0000000701020300010203
82,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000c,0x00001343,0x00005028,0x00000080,0x00000000,0000000701020300010203
83,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005029,0x00000000,0x00000000,
84,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005029,0x00000080,0x00000000,0000000701020300010203
85,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x0000502a,0x00000000,0x00000000,
86,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x0000502a,0x00000080,0x00000000,0000000701020300010203
87,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000c,0x00001343,0x0000502b,0x00000000,0x00000000,0000000701020300010203
88,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000c,0x00001343,0x0000502b,0x00000080,0x00000000,0000000701020300010203
89,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x0000502c,0x00000000,0x00000000,
90,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x0000502c,0x00000080,0x00000000,0000000701020300010203
91,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x0000502d,0x00000000,0x00000000,
92,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x0000502d,0x00000080,0x00000000,0000000701020300010203
93,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000c,0x00001343,0x0000502e,0x00000000,0x00000000,0000000701020300010203
94,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000c,0x00001343,0x0000502e,0x00000080,0x00000000,0000000701020300010203
95,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x0000502f,0x00000000,0x00000000,
96,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x0000502f,0x00000080,0x00000000,0000000701020300010203
97,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005030,0x00000000,0x00000000,
98,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005030,0x00000080,0x00000000,0000000701020300010203
99,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000c,0x00001343,0x00005031,0x00000000,0x00000000,0000000701020300010203
100,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000c,0x00001343,0x00005031,0x00000080,0x00000000,0000000701020300010203
101,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005032,0x00000000,0x00000000,
102,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005032,0x00000080,0x00000000,0000000701020300010203
103,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005033,0x00000000,0x00000000,
104,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005033,0x00000080,0x00000000,0000000701020300010203
105,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000c,0x00001343,0x00005034,0x00000000,0x00000000,0000000701020300010203
106,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000c,0x00001343,0x00005034,0x00000080,0x00000000,0000000701020300010203
107,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005035,0x00000000,0x00000000,
108,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005035,0x00000080,0x00000000,0000000701020300010203
109,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005036,0x00000000,0x00000000,
110,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005036,0x00000080,0x00000000,0000000701020300010203
111,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000c,0x00001343,0x00005037,0x00000000,0x00000000,0000000701020300010203
112,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000c,0x00001343,0x00005037,0x00000080,0x00000000,0000000701020300010203
113,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005038,0x00000000,0x00000000,
114,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005038,0x00000080,0x00000000,0000000701020300010203
115,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x00005039,0x00000000,0x00000000,
116,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x00005039,0x00000080,0x00000000,0000000701020300010203
117,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000c,0x00001343,0x0000503a,0x00000000,0x00000000,0000000701020300010203
118,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000c,0x00001343,0x0000503a,0x00000080,0x00000000,0000000701020300010203
119,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000b,0x00001343,0x0000503b,0x00000000,0x00000000,
120,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000b,0x00001343,0x0000503b,0x00000080,0x00000000,0000000701020300010203
